id,disasterType,startDate,cleansdate,endDate,cleanedate,lat,lon,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions
37,Shipwreck ,28/05/1853 00:00:00,28/05/1853,28/05/1853 00:00:00,28/05/1853,-38.29532623,144.6224823,,,,5,,,,,,,,,,,,,Victoria
38,Shipwreck ,01/09/1847 00:00:00,01/09/1847,01/09/1847 00:00:00,01/09/1847,-29.33429718,153.3691406,,,,5,,,,,,,,,,,,,Queensland
39,Shipwreck ,18/04/1860 00:00:00,18/04/1860,18/04/1860 00:00:00,18/04/1860,-38.2122879,147.4447632,,,,10,,,,,,,,,,,,,Victoria
40,Transport ,05/06/1990,05/06/1990,05/06/1990,5/06/1990,-33.54511642,151.2256012,,,93,6,,,,,,,,,,,,,New South Wales
41,Extreme Weather,1/27/1986 0:00,1/27/1986,02/05/1986,2/05/1986,-17.69570732,146.1140442,,,,3,40000000,,,1500,,,,,,,,,Queensland
42,Extreme Weather,04/03/1899 00:00:00,04/03/1899,10/03/1899 00:00:00,10/03/1899,-14.1152668,144.3383789,,,,400,,,,,,,,,,,,,Queensland
43,Epidemic ,3/25/2002 0:00,3/25/2002,3/25/2002 0:00,3/25/2002,-37.81324387,144.9628906,,,272,,,,,,,,,,,,,,Victoria
44,Transport ,8/13/1989 0:00,8/13/1989,8/13/1989 0:00,8/13/1989,-23.905299,133.905144,,,,13,,,,,,,,,,,,,Northern Territory
45,Shipwreck ,12/26/1935 0:00,12/26/1935,12/26/1935 0:00,12/26/1935,-39.15988159,146.2939453,,,,31,,,,,,,,,,,,,Victoria
46,Extreme Weather,04/02/1967,04/02/1967,04/04/1967,4/04/1967,-27.7224369,157.7197266,,,,6,,,,,,,,,,,,,Queensland
47,Shipwreck ,18/03/1846 00:00:00,18/03/1846,18/03/1846 00:00:00,18/03/1846,-20.98195648,159.0161133,,,,21,,,,,,,,,,,,,Queensland
48,Extreme Weather,02/10/1978,02/10/1978,02/11/1978,2/11/1978,-32.92599487,151.7788696,,,8,,15000000,,,,,,,,,,,,New South Wales
49,Shipwreck ,11/19/1941 0:00,11/19/1941,11/19/1941 0:00,11/19/1941,-22.2687645,111.2695313,,,,645,,,,,,,,,,,,,Outside Australia
50,Extreme Weather,4/21/1990 0:00,4/21/1990,4/30/1990 0:00,4/30/1990,-31.54109001,147.1975708,,5000,,6,30000000,,,,,,,,,,,,New South Wales
50,Extreme Weather,4/21/1990 0:00,4/21/1990,4/30/1990 0:00,4/30/1990,-31.54109001,147.1975708,,5000,,6,30000000,,,,,,,,,,,,Victoria
50,Extreme Weather,4/21/1990 0:00,4/21/1990,4/30/1990 0:00,4/30/1990,-31.54109001,147.1975708,,5000,,6,30000000,,,,,,,,,,,,Queensland
51,Shipwreck ,14/06/1876 00:00:00,14/06/1876,14/06/1876 00:00:00,14/06/1876,-37.66126633,140.1385193,,,,30,,,,,,,,,,,,,South Australia
52,Transport ,10/02/1989,10/02/1989,10/02/1989,10/02/1989,-34.92675781,138.5994873,,,78,,,,,,,,,,,,,,South Australia
53,Other ,2/19/1942 0:00,2/19/1942,2/19/1942 0:00,2/19/1942,-12.47060394,130.8434753,,,400,243,,,,,,,,,,,,,Northern Territory
54,Transport ,1/13/1996 0:00,1/13/1996,1/13/1996 0:00,1/13/1996,-31.530181,118.078705,,,1,2,,,,,,,,,,,,,Western Australia
55,Shipwreck ,01/04/1848 00:00:00,01/04/1848,01/04/1848 00:00:00,01/04/1848,-42.88973618,147.347641,,,,3,,,,,,,,,,,,,Tasmania
56,Shipwreck ,11/20/1940 0:00,11/20/1940,11/20/1940 0:00,11/20/1940,-38.28919601,144.6871033,,,,24,,,,,,,,,,,,,Victoria
57,Shipwreck ,08/09/1972,08/09/1972,08/09/1972,8/09/1972,-37.8773613,144.9148254,,,,5,,,,,,,,,,,,,Victoria
58,Other ,12/28/1989 0:00,12/28/1989,12/29/1989 0:00,12/29/1989,-32.92592239,151.7787018,,,160,13,862000000,40000,,50000,,,,,,,,,New South Wales
59,Extreme Weather,01/05/1998,01/05/1998,01/05/1998,1/05/1998,-31.53523827,147.1920776,,,1,,12000000,77,4,,,,,,,,,,New South Wales
60,Environmental,12/09/1909,12/09/1909,02/10/1910,2/10/1910,-33.87330246,151.2070618,,,,109,,,,,,,,,,,,,Queensland
60,Environmental,12/09/1909,12/09/1909,02/10/1910,2/10/1910,-33.87330246,151.2070618,,,,109,,,,,,,,,,,,,New South Wales
60,Environmental,12/09/1909,12/09/1909,02/10/1910,2/10/1910,-33.87330246,151.2070618,,,,109,,,,,,,,,,,,,Tasmania
60,Environmental,12/09/1909,12/09/1909,02/10/1910,2/10/1910,-33.87330246,151.2070618,,,,109,,,,,,,,,,,,,Australian Capital Territory
60,Environmental,12/09/1909,12/09/1909,02/10/1910,2/10/1910,-33.87330246,151.2070618,,,,109,,,,,,,,,,,,,Northern Territory
60,Environmental,12/09/1909,12/09/1909,02/10/1910,2/10/1910,-33.87330246,151.2070618,,,,109,,,,,,,,,,,,,South Australia
60,Environmental,12/09/1909,12/09/1909,02/10/1910,2/10/1910,-33.87330246,151.2070618,,,,109,,,,,,,,,,,,,Western Australia
60,Environmental,12/09/1909,12/09/1909,02/10/1910,2/10/1910,-33.87330246,151.2070618,,,,109,,,,,,,,,,,,,Victoria
61,Extreme Weather,05/03/1887 00:00:00,05/03/1887,05/03/1887 00:00:00,05/03/1887,-17.73102951,139.54216,,,,7,,,,,,,,,,,,,Queensland
62,Industrial ,02/01/1945,02/01/1945,02/01/1945,2/01/1945,-27.60289574,152.7519379,,,,4,,,,,,,,,,,,,Queensland
63,Bushfire ,12/27/1993 0:00,12/27/1993,1/16/1994 0:00,1/16/1994,-29.58524513,152.7775879,,,,4,59000000,,206,,,,,,,,,,New South Wales
64,Shipwreck ,21/07/1874 00:00:00,21/07/1874,21/07/1874 00:00:00,21/07/1874,-34.57414627,139.5933075,,,1,3,,,,,,,,,,,,,South Australia
65,Shipwreck ,19/10/1887 00:00:00,19/10/1887,19/10/1887 00:00:00,19/10/1887,-38.31795502,144.5896912,,,24,35,,,,,,,,,,,,,Victoria
66,Extreme Weather,4/24/1974 0:00,4/24/1974,4/24/1974 0:00,4/24/1974,-33.75153351,150.6912231,,,,1,20000000,,,,,,,,,,,,New South Wales
67,Extreme Weather,2/20/1929 0:00,2/20/1929,2/28/1929 0:00,2/28/1929,-23.37712288,150.5100708,100,,,3,,,,,,,,,,,,,Queensland
68,Bushfire ,1/14/1962 0:00,1/14/1962,2/16/1962 0:00,2/16/1962,-37.85620117,145.3159332,,2500,,8,,,454,,,,,,,,,,Victoria
69,Extreme Weather,11/16/1989 0:00,11/16/1989,11/16/1989 0:00,11/16/1989,-37.56158829,143.8562317,,,,,20000000,,,,,,,,,,,,Victoria
70,Extreme Weather,02/10/1978,02/10/1978,02/10/1978,2/10/1978,-33.59460449,150.7513123,,,,6,15000000,,,,,,,,,,,,New South Wales
71,Shipwreck ,08/05/1891 00:00:00,08/05/1891,08/05/1891 00:00:00,08/05/1891,-38.47939682,144.669342,,,,6,,,,,,,,,,,,,Victoria
72,Other ,8/17/1987 0:00,8/17/1987,8/17/1987 0:00,8/17/1987,-16.92261696,145.7739868,,,27,1,,,,,,,,,,,,,Queensland
73,Shipwreck ,14/10/1841 00:00:00,14/10/1841,14/10/1841 00:00:00,14/10/1841,-35.84926605,150.1885986,,,,12,,,,,,,,,,,,,New South Wales
74,Extreme Weather,05/01/1996,05/01/1996,05/09/1996,5/09/1996,-27.37176704,150.4907227,,,20,5,31000000,,,,,,,,,,,,New South Wales
74,Extreme Weather,05/01/1996,05/01/1996,05/09/1996,5/09/1996,-27.37176704,150.4907227,,,20,5,31000000,,,,,,,,,,,,Queensland
75,Extreme Weather,25/06/1852 00:00:00,25/06/1852,25/06/1852 00:00:00,25/06/1852,-35.06316376,148.1075439,,160,,89,,,,,,,,,,,,,New South Wales
76,Other ,11/18/2001 0:00,11/18/2001,11/18/2001 0:00,11/18/2001,-20.65744209,116.7032547,,,,8,,,,,,,,,,,,,Western Australia
77,Other ,2/13/1978 0:00,2/13/1978,2/13/1978 0:00,2/13/1978,-33.87180328,151.2081451,,,,3,,,,,,,,,,,,,New South Wales
78,Transport ,1/28/1908 0:00,1/28/1908,1/28/1908 0:00,1/28/1908,-37.908958,145.354013,,,40,,,,,,,,,,,,,,Victoria
79,Transport ,7/18/1910 0:00,7/18/1910,7/18/1910 0:00,7/18/1910,-33.59674835,150.7526855,,,114,9,,,,,,,,,,,,,Victoria
80,Transport ,8/23/1963 0:00,8/23/1963,8/23/1963 0:00,8/23/1963,-32.3973732,148.8305359,,,22,,,,,,,,,,,,,,New South Wales
81,Other ,10/05/1897 00:00:00,10/05/1897,10/05/1897 00:00:00,10/05/1897,-37.16278076,139.7553558,,,50,,,,,,,,,,,,,,South Australia
82,Shipwreck ,03/09/1880 00:00:00,03/09/1880,03/09/1880 00:00:00,03/09/1880,-38.88301468,143.524704,,,,4,,,,,,,,,,,,,Victoria
83,Transport ,10/25/1938 0:00,10/25/1938,10/25/1938 0:00,10/25/1938,-37.83002472,145.3504333,,,,18,,,,,,,,,,,,,Victoria
